Group	Otu0001	Otu0002	Otu0003	Otu0004	Otu0005	Otu0006	Otu0007	Otu0008	Otu0009	Otu0010	Otu0011	Otu0012	Otu0013	Otu0014	Otu0015	Otu0016	Otu0017	Otu0018	Otu0019	Otu0020	Otu0021	Otu0022	Otu0023	Otu0024	Otu0025	Otu0026	Otu0027	Otu0028	Otu0029	Otu0030	Otu0031	Otu0032	Otu0033	Otu0034	Otu0035	Otu0036	Otu0037	Otu0038	Otu0039	Otu0040	Otu0041	Otu0042	Otu0043	Otu0044	Otu0045	Otu0046	Otu0047	Otu0048	Otu0049	Otu0050	Otu0051	Otu0052	Otu0053	Otu0054	Otu0055	Otu0056	Otu0057	Otu0058	Otu0059	Otu0060	Otu0061	Otu0062	Otu0063	Otu0064	Otu0065	Otu0066	Otu0067	Otu0068	Otu0069	Otu0070	Otu0071	Otu0072	Otu0073	Otu0074	Otu0075	Otu0076	Otu0077	Otu0078	Otu0079	Otu0080	Otu0081	Otu0082	Otu0083	Otu0084	Otu0085	Otu0086	Otu0087	Otu0088	Otu0089	Otu0090	Otu0091	Otu0092	Otu0093	Otu0094	Otu0095	Otu0096	Otu0097	Otu0098	Otu0099	Otu0100	Otu0101	Otu0102	Otu0103	Otu0104	Otu0105	Otu0106	Otu0107	Otu0108	Otu0109	Otu0110	Otu0111	Otu0112	Otu0113	Otu0114	Otu0115	Otu0116	Otu0117	Otu0118	Otu0119	Otu0120	Otu0121	Otu0122	Otu0123	Otu0124	Otu0125	Otu0126	Otu0127	Otu0128	Otu0129	Otu0130	Otu0131	Otu0132	Otu0133	Otu0134	Otu0135	Otu0136	Otu0137	Otu0138	Otu0139	Otu0140	Otu0141	Otu0142	Otu0143	Otu0144	Otu0145	Otu0146	Otu0147	Otu0148	Otu0149	Otu0150	Otu0151	Otu0152	Otu0153	Otu0154	Otu0155	Otu0156	Otu0157	Otu0158	Otu0159	Otu0160	Otu0161	Otu0162	Otu0163	Otu0164	Otu0165	Otu0166	Otu0167	Otu0168	Otu0169	Otu0170	Otu0171	Otu0172	Otu0173	Otu0174	Otu0175	Otu0176	Otu0177	Otu0178	Otu0179	Otu0180	Otu0181	Otu0182	Otu0183	Otu0184	Otu0185	Otu0186	Otu0187	Otu0188	Otu0189	Otu0190	Otu0191	Otu0192	Otu0193	Otu0194	Otu0195	Otu0196	Otu0197	Otu0198	Otu0199	Otu0200	Otu0201	Otu0202	Otu0203	Otu0204	Otu0205	Otu0206	Otu0207	Otu0208	Otu0209	Otu0210	Otu0211	Otu0212	Otu0213	Otu0214	Otu0215	Otu0216	Otu0217	Otu0218	Otu0219	Otu0220	Otu0221	Otu0222	Otu0223	Otu0224	Otu0225	Otu0226	Otu0227	Otu0228	Otu0229	Otu0230	Otu0231	Otu0232	Otu0233	Otu0234	Otu0235	Otu0236	Otu0237	Otu0238	Otu0239	Otu0240	Otu0241	Otu0242	Otu0243	Otu0244	Otu0245	Otu0246	Otu0247	Otu0248	Otu0249	Otu0250	Otu0251	Otu0252	Otu0253	Otu0254	Otu0255	Otu0256	Otu0257	Otu0258	Otu0259	Otu0260	Otu0261	Otu0262	Otu0263	Otu0264	Otu0265	Otu0266	Otu0267	Otu0268	Otu0269	Otu0270	Otu0271	Otu0272	Otu0273	Otu0274	Otu0275	Otu0276	Otu0277	Otu0278	Otu0279	Otu0280	Otu0281	Otu0282	Otu0283	Otu0284	Otu0285	Otu0286	Otu0287	Otu0288	Otu0289	Otu0290	Otu0291	Otu0292	Otu0293	Otu0294	Otu0295	Otu0296	Otu0297	Otu0298	Otu0299	Otu0300	Otu0301	Otu0302	Otu0303	Otu0304	Otu0305	Otu0306	Otu0307	Otu0308	Otu0309	Otu0310	Otu0311	Otu0312	Otu0313	Otu0314	Otu0315	Otu0316	Otu0317	Otu0318	Otu0319	Otu0320	Otu0321	Otu0322	Otu0323	Otu0324	Otu0325	Otu0326	Otu0327	Otu0328	Otu0329	Otu0330	Otu0331	Otu0332	Otu0333	Otu0334	Otu0335	Otu0336	Otu0337	Otu0338	Otu0339	Otu0340	Otu0341	Otu0342	Otu0343	Otu0344	Otu0345	Otu0346	Otu0347	Otu0348	Otu0349	Otu0350	Otu0351	Otu0352	Otu0353	Otu0354	Otu0355	Otu0356	Otu0357	Otu0358	Otu0359	Otu0360	Otu0361	Otu0362	Otu0363	Otu0364	Otu0365	Otu0366	Otu0367	Otu0368	Otu0369	Otu0370	Otu0371	Otu0372	Otu0373	Otu0374	Otu0375	Otu0376	Otu0377	Otu0378	Otu0379	Otu0380	Otu0381	Otu0382	Otu0383	Otu0384	Otu0385	Otu0386	Otu0387	Otu0388	Otu0389	Otu0390	Otu0391	Otu0392	Otu0393	Otu0394	Otu0395	Otu0396	Otu0397	Otu0398	Otu0399	Otu0400	Otu0401	Otu0402	Otu0403	Otu0404	Otu0405	Otu0406	Otu0407	Otu0408	Otu0409	Otu0410	Otu0411	Otu0412	Otu0413	Otu0414	Otu0415	Otu0416	Otu0417	Otu0418	Otu0419	Otu0420	Otu0421	Otu0422	Otu0423	Otu0424	Otu0425	Otu0426	Otu0427	Otu0428	Otu0429	Otu0430	Otu0431	Otu0432	Otu0433	Otu0434	Otu0435	Otu0436	Otu0437	Otu0438	Otu0439	Otu0440	Otu0441	Otu0442	Otu0443	Otu0444	Otu0445	Otu0446	Otu0447	Otu0448	Otu0449	Otu0450	Otu0451	Otu0452	Otu0453	Otu0454	Otu0455	Otu0456	Otu0457	Otu0458	Otu0459	Otu0460	Otu0461	Otu0462	Otu0463	Otu0464	Otu0465	Otu0466	Otu0467	Otu0468	Otu0469	Otu0470	Otu0471	Otu0472	Otu0473	Otu0474	Otu0475	Otu0476	Otu0477	Otu0478	Otu0479	Otu0480	Otu0481	Otu0482	Otu0483	Otu0484	Otu0485	Otu0486	Otu0487	Otu0488	Otu0489	Otu0490	Otu0491	Otu0492	Otu0493	Otu0494	Otu0495	Otu0496	Otu0497	Otu0498	Otu0499
Aik	9640	18383	1	14419	3	9183	1292	36	1	2436	731	10	0	1	239	364	1468	1	1543	1417	1178	1307	101	0	0	650	1090	0	1049	917	421	0	684	1	0	6	0	71	0	0	438	512	490	246	0	0	177	129	0	0	0	306	0	2	146	101	0	261	0	240	0	65	44	71	216	224	6	56	188	25	182	168	0	0	153	160	99	125	0	14	61	0	131	31	0	23	118	117	9	0	29	96	0	93	0	61	63	0	71	4	1	81	0	65	6	76	74	25	4	13	0	0	0	54	47	65	0	0	0	58	0	0	0	0	53	22	0	0	0	0	0	0	0	0	0	10	0	0	0	0	39	2	0	22	0	0	0	30	3	0	30	0	0	0	4	0	26	0	14	0	0	26	0	16	26	15	0	3	12	16	17	0	13	23	0	0	0	4	0	19	0	0	0	12	0	0	6	0	0	18	20	20	20	4	0	0	0	17	0	0	11	15	11	0	9	10	14	6	11	12	2	0	0	0	10	8	8	0	12	12	0	0	11	0	9	10	11	0	0	0	0	0	0	0	0	0	0	0	6	0	0	7	9	0	0	5	5	0	0	0	7	0	3	9	0	9	0	0	0	0	0	8	8	0	8	0	0	0	0	0	0	0	0	0	7	0	0	0	1	3	0	5	0	0	6	0	6	0	6	0	0	0	5	5	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	3	0	4	0	0	4	0	0	0	2	0	4	3	0	4	0	0	2	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	3	0	3	0	3	0	0	0	0	3	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	2	0	0	2	0	0	0	0	2	2	0	0	0	0	2	0	2	2	0	0	0	0	0	2	0	0	0	0	0
Ast	141	9	1	3	1	1	0	0	0	4	3	1077	19	0	135	15	0	0	0	0	0	23	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	19	0	0	1	0	0	0	1	29	0	1	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Lan	34797	0	16610	40	8	0	170	16	0	176	848	0	1	4	1229	136	0	0	0	0	0	4	390	0	2	15	0	0	1	0	0	1	0	0	0	0	0	759	2	0	19	0	0	17	88	0	15	73	0	0	14	0	1	0	8	0	59	0	0	5	133	0	78	16	0	0	156	10	0	7	0	0	0	0	0	0	0	0	0	0	36	0	0	2	0	0	0	0	9	0	0	0	0	0	0	9	0	0	0	64	0	0	77	0	4	0	0	0	0	28	0	0	0	0	6	0	0	0	0	0	0	1	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	4	5	26	1	4	0	0	0	0	6	0	10	0	0	4	0	2	0	11	0	0	0	2	0	7	0	0	0	0	0	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	16	0	16	0	0	16	1	0	3	0	0	0	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Lin	15648	408	262	868	857	1	1781	52	3288	116	589	0	0	1540	0	6	73	1	1	5	97	0	248	697	1014	62	0	1	0	26	0	850	62	193	886	651	832	0	668	690	6	0	2	101	0	427	127	47	5	0	154	0	0	46	52	165	208	18	254	1	61	0	25	92	0	0	28	74	0	14	0	6	5	6	0	0	0	6	13	0	3	117	0	0	124	96	0	0	41	108	32	0	0	0	77	8	8	0	0	0	7	0	0	0	2	0	0	35	56	23	56	1	0	7	0	0	19	0	0	0	12	21	28	0	0	2	26	2	0	46	0	38	35	35	38	0	41	15	0	29	0	2	13	0	0	2	0	0	5	2	0	0	13	0	0	2	0	28	5	25	0	0	3	8	0	0	15	0	0	0	0	6	0	0	0	0	0	4	10	0	0	0	12	3	16	0	12	0	14	1	0	0	0	2	0	17	0	0	0	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	11	11	8	9	9	0	4	0	10	0	0	0	0	0	1	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	8	0	4	0	0	8	0	0	0	0	0	0	2	0	4	7	0	0	0	6	1	1	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	2	4	0	1	0	0	4	0	1	0	0	1	2	4	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	2	2	0	2	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	2	0	0	0	2	0	0	0
Lun	769	85	192	550	7579	0	1686	38	0	4	21	0	2254	5	103	1	5	0	17	43	0	9	38	3	21	211	66	0	1	0	0	5	105	0	0	0	0	0	3	0	9	0	7	55	10	0	10	13	161	0	4	7	203	2	3	1	0	0	0	5	37	0	10	20	0	0	1	10	0	9	0	0	40	0	5	0	2	0	3	0	0	0	0	95	0	1	0	1	1	0	12	0	0	0	0	0	0	42	16	18	0	0	0	0	10	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	32	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	14	6	0	0	0	2	0	30	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	10	0	0	0	2	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	3	0	3	0	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	6	0	0	0	0	6	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ods	6948	3452	189	1176	2359	1	100	64	133	42	188	0	0	176	1	68	5	1633	0	0	0	0	33	95	52	205	0	0	0	0	0	67	70	14	17	105	23	0	95	43	14	0	0	24	2	51	13	67	93	0	96	0	117	239	5	20	20	0	3	2	13	0	13	8	0	0	7	13	0	124	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	1	0	0	4	0	7	0	0	0	14	0	16	13	0	0	0	0	0	0	0	0	0	1	0	6	14	0	0	0	0	0	3	61	0	0	26	0	5	0	0	0	23	0	0	0	0	7	6	6	4	0	0	17	0	0	0	33	0	0	1	1	0	0	0	0	0	0	4	0	9	3	0	0	4	0	10	0	6	1	0	10	1	14	0	8	0	18	0	0	0	0	4	5	0	0	0	0	3	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	2	2	6	12	0	0	1	5	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	11	0	0	0	3	0	5	0	0	0	4	4	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	3	0	0	5	5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	0	0	0	0	0	2	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Sve	31	38	2	12	0	0	5	34	0	0	6	0	0	0	0	0	1	0	0	2	1	0	66	21	2	2	0	0	0	0	1	0	0	84	0	1	0	0	0	0	6	0	0	0	4	0	4	0	3	3	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vej	6706	1405	318	16	57	0	95	8	16	11	67	1	0	42	104	55	0	0	0	7	0	12	257	14	0	2	0	0	0	0	0	27	0	0	0	0	0	0	4	2	32	0	1	23	0	0	21	29	3	0	5	0	0	11	26	0	0	4	2	1	2	0	43	15	9	0	3	6	0	5	0	0	5	0	2	0	0	0	0	0	18	0	0	0	0	0	0	0	24	0	3	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	36	0	0	0	19	30	7	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hvi	43	1	0	54	3109	2	4	3873	19	0	45	1332	0	21	1	1128	190	0	0	0	78	0	37	255	121	1	0	0	17	1	622	16	2	210	0	93	0	2	3	10	2	0	0	2	7	0	10	3	92	6	77	8	0	2	14	8	0	1	0	2	2	183	0	0	0	0	2	21	1	0	0	3	126	11	0	0	0	0	111	105	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	32	1	0	0	0	0	0	0	1	0	0	0	0	0	0	69	0	8	0	0	0	58	0	0	0	3	0	0	0	0	4	0	0	15	0	0	1	0	3	0	6	8	7	0	0	0	0	1	1	1	0	0	5	0	0	0	1	15	0	0	0	0	2	5	0	5	0	0	0	0	7	0	0	0	0	0	0	17	0	16	0	12	3	22	1	0	6	0	0	0	21	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	5	13	0	0	0	12	0	0	11	2	0	0	2	0	0	0	0	2	0	2	11	0	0	0	0	10	0	0	0	0	0	0	2	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	2	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	1	0	1	0	0	5	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	3	0	0	0	3	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	2	0	0	0	0	2	0	0	2	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	2
Isl	31	2	4	83	11	1	32	634	3	0	0	9	0	5	4	6	18	0	1	0	36	1	2	36	6	37	0	1112	0	92	4	17	9	358	0	9	0	0	5	0	0	0	0	3	67	2	5	2	6	0	10	0	0	6	2	0	1	0	0	0	0	2	0	3	0	0	0	0	0	1	0	3	4	136	0	0	0	14	17	14	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	71	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	14	1	3	0	0	0	5	0	0	13	3	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
