	Aik_D	Aik_T	Ast_D	Ast_T	Lan_D	Lan_T	Lin_D	Lin_T	Lun_T	Ods_D	Ods_T	Sve_D	Sve_T	Vej_D	Vej_T	Hvi_D	Hvi_T	Isl_D	Isl_T	Soen_D	Soen_T
Aik_D	0	0	20.72	20.72	127.5	127.5	105.6	105.6	117.38	101.61	101.61	63.81	63.81	54.56	54.56	233.92	233.92	233.29	233.29	228.59	228.59
Aik_T	0	0	20.72	20.72	127.5	127.5	105.6	105.6	117.38	101.61	101.61	63.81	63.81	54.56	54.56	233.92	233.92	233.29	233.29	228.59	228.59
Ast_D	20.72	20.72	0	0	148.137	148.137	125.05	125.05	137.76	120.72	120.72	82.32	82.32	68	68	251.11	251.11	250.141	250.141	245.03	245.03
Ast_T	20.72	20.72	0	0	148.137	148.137	125.05	125.05	137.76	120.72	120.72	82.32	82.32	68	68	251.11	251.11	250.141	250.141	245.03	245.03
Lan_D	127.5	127.5	148.137	148.137	0	0	39.78	39.78	15.300	46.09	46.09	74.79	74.79	103.15	103.15	138.53	138.53	141.23	141.23	141.01	141.01
Lan_T	127.5	127.5	148.137	148.137	0	0	39.78	39.78	15.300	46.09	46.09	74.79	74.79	103.15	103.15	138.53	138.53	141.23	141.23	141.01	141.01
Lin_D	105.6	105.6	125.05	125.05	39.78	39.78	0	0	23.86	6.480	6.480	43.58	43.58	68.81	68.81	133.39	133.39	134.12	134.12	131.3	131.3
Lin_T	105.6	105.6	125.05	125.05	39.78	39.78	0	0	23.86	6.480	6.480	43.58	43.58	68.81	68.81	133.39	133.39	134.12	134.12	131.3	131.3
Lun_T	117.38	117.38	137.76	137.76	15.300	15.300	23.86	23.86	0	30.16	30.16	60.95	60.95	88.73	88.73	135.38	135.38	137.33	137.33	136.09	136.09
Ods_D	101.61	101.61	120.72	120.72	46.09	46.09	6.480	6.480	30.16	0	0	38.67	38.67	62.91	62.91	135.27	135.27	135.69	135.69	132.44	132.44
Ods_T	101.61	101.61	120.72	120.72	46.09	46.09	6.480	6.480	30.16	0	0	38.67	38.67	62.91	62.91	135.27	135.27	135.69	135.69	132.44	132.44
Sve_D	63.81	63.81	82.32	82.32	74.79	74.79	43.58	43.58	60.95	38.67	38.67	0	0	28.83	28.83	170.4	170.4	170.02	170.02	165.72	165.72
Sve_T	63.81	63.81	82.32	82.32	74.79	74.79	43.58	43.58	60.95	38.67	38.67	0	0	28.83	28.83	170.4	170.4	170.02	170.02	165.72	165.72
Vej_D	54.56	54.56	68	68	103.15	103.15	68.81	68.81	88.73	62.91	62.91	28.83	28.83	0	0	184.51	184.51	183.31	183.31	177.65	177.65
Vej_T	54.56	54.56	68	68	103.15	103.15	68.81	68.81	88.73	62.91	62.91	28.83	28.83	0	0	184.51	184.51	183.31	183.31	177.65	177.65
Hvi_D	233.92	233.92	251.11	251.11	138.53	138.53	133.39	133.39	135.38	135.27	135.27	170.4	170.4	184.51	184.51	0	0	7.040	7.040	15.89	15.89
Hvi_T	233.92	233.92	251.11	251.11	138.53	138.53	133.39	133.39	135.38	135.27	135.27	170.4	170.4	184.51	184.51	0	0	7.040	7.040	15.89	15.89
Isl_D	233.29	233.29	250.141	250.141	141.23	141.23	134.12	134.12	137.33	135.69	135.69	170.02	170.02	183.31	183.31	7.040	7.040	0	0	9.300	9.300
Isl_T	233.29	233.29	250.141	250.141	141.23	141.23	134.12	134.12	137.33	135.69	135.69	170.02	170.02	183.31	183.31	7.040	7.040	0	0	9.300	9.300
Soen_D	228.59	228.59	245.03	245.03	141.01	141.01	131.3	131.3	136.09	132.44	132.44	165.72	165.72	177.65	177.65	15.89	15.89	9.300	9.300	0	0
Soen_T	228.59	228.59	245.03	245.03	141.01	141.01	131.3	131.3	136.09	132.44	132.44	165.72	165.72	177.65	177.65	15.89	15.89	9.300	9.300	0	0
