Group	Mat	age     	BW      	Fe      	Mn      	BET     	pH      	dH      	Cond    	Caw     	NVOC    	Clw     	color   	O2w     	Kw      	Mgw     	Naw     	NO3w    	Pw      	SO4w    	Few     	Mnw     	NH4	CH4	Latitude	Longitude	Bakt_rich_all	Bakt03_rich	Bakt05_rich	Bakt10_rich	Euk_rich_all	Euk03_rich	Euk05_rich	Euk10_rich
Aik_D	3	21.000	5.000	1.100	2.200	1.300	8.100	9.300	38.000	60.000	0.500	29.000	1.300	10.000	1.400	3.600	15.000	0.250	0.011	31.000	2.597	0.559	0.1	0.2	55.4722	8.76986	59.749	129.904	115.625	106.354	34.602	78.35	68.313	59.722
Aik_T	3	21.000	5.000	61.800	57.600	31.000	8.100	9.300	38.000	60.000	0.500	29.000	1.300	10.000	1.400	3.600	15.000	0.250	0.011	31.000	2.597	0.559	0.1	0.2	55.4722	8.76986	55.325	97.096	94.355	89.466	10.915	29.663	28.307	25.733
Ast_D	1	16.000	3.000	2.000	17.800	5.300	7.500	6.600	30.000	38.000	0.400	31.000	0.500	10.600	1.800	5.500	24.000	0.250	0.006	36.000	10.730	0.506	0.06	0.005	55.56252	8.48245	78.178	179.626	144.273	136.595	15.206	34.619	32.331	31.331
Ast_T	1	8.000	3.000	256.000	11.350	177.500	7.500	6.600	30.000	38.000	0.400	31.000	0.500	10.600	1.800	5.500	24.000	0.250	0.006	36.000	10.730	0.506	0.06	0.005	55.56252	8.48245	29.800	66.44	57.427	53.912	7.431	14.344	13.401	12.138
Hvi_D	1	40.000	5.000	43.200	11.800	26.000	7.200	32.300	140.000	180.000	1.700	160.000	1.000	8.000	6.300	29.000	63.000	3.900	0.000	140.000	1.873	0.000	0.6	0.005	55.64149	12.47159	94.423	232.212	189.705	174.809	37.567	89.833	80.086	76.845
Hvi_T	1	40.000	5.000	83.800	18.500	40.000	7.200	32.300	140.000	180.000	1.700	160.000	1.000	8.000	6.300	29.000	63.000	3.900	0.000	140.000	1.873	0.000	0.6	0.005	55.64149	12.47159	92.425	214.155	186.451	176.836	14.802	35.558	30.288	28.704
Isl_D	2	25.000	17.000	9.100	16.800	5.700	7.600	23.400	67.000	130.000	2.200	65.000	3.000	8.900	3.200	34.000	31.000	2.000	0.013	110.000	1.714	0.000	0.5	0.005	55.7044	12.45577	85.348	182.844	156.907	144.895	31.891	68.527	61.469	56.21
Isl_T	2	25.000	17.000	118.000	80.000	139.000	7.600	23.400	67.000	130.000	2.200	65.000	3.000	8.900	3.200	34.000	31.000	2.000	0.013	110.000	1.714	0.000	0.5	0.005	55.7044	12.45577	107.797	313.421	238.974	210.516	17.528	40.867	36.509	36.509
Lan_D	2	6.000	3.500	107.000	69.600	80.000	7.300	24.100	98.000	160.000	1.500	81.000	2.100	8.500	3.500	9.300	42.000	0.600	0.006	130.000	1.188	0.546	0.1	0.005	54.99979	10.59987	80.288	188.397	162.027	143.83	3.046	11.407	10.349	10.278
Lan_T	2	6.000	3.500	128.000	87.600	72.000	7.300	24.100	98.000	160.000	1.500	81.000	2.100	8.500	3.500	9.300	42.000	0.600	0.006	130.000	1.188	0.546	0.1	0.005	54.99979	10.59987	84.572	197.927	163.186	150.277	2.984	10.241	8.442	8.441
